beta	opt	optSacMat	optR7	optR7Relative	sim
0.0	0.012068578273564428	-1.0241371565471287	-0.7092320966350301	-0.006482804087462816	0.9927898655413053
0.05	0.36516433330837755	-1.7303286666167554	-0.3643030825947133	-0.48967146467421163	0.8535875291299986
0.1	0.4223178857527887	-1.844635771505578	-0.3005333751666798	-0.5790023074387429	0.8320807145187658
0.15	0.49604701654563155	-1.9920940330912633	-0.1796611498941094	-0.7483243599604439	0.783830998781387
0.2	0.5354570637119114	-2.0709141274238227	-0.0948701858969331	-0.8671025162070102	0.7641563468046383
0.25	0.5421501834244216	-2.084300366848844	-0.07651580516118912	-0.8928139764861005	0.757951357441828
0.3	0.5539417533877367	-2.1078835067754738	-0.04188563808926191	-0.9413251291066915	0.7436675651927179
0.35	0.5547877517406603	-2.1095755034813206	-0.03745391795434937	-0.9475332381057026	0.7444179252499964
0.4	0.5550123530732949	-2.11002470614659	-0.036277355086673464	-0.9491814086364133	0.7449228508274793
0.45	0.6499363629557535	-2.299872725911507	0.23272413522629226	-1.326008130974618	0.666794241321536
0.5	0.7266826383169874	-2.4533652766339746	0.4302690407090753	-1.6027359630809803	0.626982680877038
0.55	0.7260911881410497	-2.4521823762820993	0.42717075849086206	-1.5983957806834415	0.6259231499092388
0.6	0.7257542861420978	-2.4515085722841956	0.42807279002274695	-1.5996593780903199	0.624335276915843
0.65	0.7101969005016096	-2.420393801003219	0.41826809945878113	-1.585924623667729	0.6315226367245115
0.7	0.7101969005016096	-2.420393801003219	0.41826809945878113	-1.585924623667729	0.6315226367245115
0.75	0.7101969005016096	-2.420393801003219	0.41826809945878113	-1.585924623667729	0.6315226367245115
0.8	0.7113273938758704	-2.4226547877517404	0.4184641932700604	-1.5861993187561807	0.6314684181808371
0.85	0.7107733772553717	-2.4215467545107434	0.4184641932700604	-1.5861993187561807	0.6317693164109804
0.9	0.7107733772553717	-2.4215467545107434	0.4184641932700604	-1.5861993187561807	0.6317693164109804
0.95	0.7107733772553717	-2.4215467545107434	0.4184641932700604	-1.5861993187561807	0.6317693164109804
1.0	0.8184322826982107	-2.6368645653964213	0.5267079770962428	-1.737831007581584	0.7220123420861597
