beta	avgrolnumber	avgassigns	avgopt	avgsim	avginitrolenumber	avginitassigns	avginitopt
0.0	65.1	1580.8	-0.5167204126269345	0.9270887054350988	67.7	1775.0	-0.6747848589529193
0.1	46.0	1045.4	-0.018395488890343814	0.6017724249680183	67.7	1775.0	-0.6747848589529193
0.2	46.0	1041.9	-0.01578710829348622	0.5937290039281854	67.7	1775.0	-0.6747848589529193
0.3	46.1	1031.8	-0.008787852895124338	0.5934821921373538	67.7	1775.0	-0.6747848589529193
0.4	60.5	766.3	0.11384049101539917	0.5198859576789625	67.7	1775.0	-0.6747848589529193
0.5	55.7	711.7	0.17955669015139494	0.5020461998934971	67.7	1775.0	-0.6747848589529193
0.6	60.4	652.8	0.19890612359943316	0.4961833702498635	67.7	1775.0	-0.6747848589529193
0.7	61.0	660.0	0.1904176649248241	0.4954633854670859	67.7	1775.0	-0.6747848589529193
0.8	61.0	660.0	0.1904176649248241	0.4954633854670859	67.7	1775.0	-0.6747848589529193
0.9	60.5	653.8	0.19763902467172612	0.49567768954173524	67.7	1775.0	-0.6747848589529193
1.0	25.4	441.2	0.5389836686999877	0.4531709562644948	67.7	1775.0	-0.6747848589529193
