beta	avgrolnumber	avgassigns	avgopt	avgsim	avginitrolenumber	avginitassigns	avginitopt
0.0	13.0	72.3	-0.2982095238095238	0.691044637623585	14.6	100.9	-0.6165968253968253
0.1	9.2	51.6	0.07790476190476193	0.563600398139872	14.6	100.9	-0.6165968253968253
0.2	7.8	44.0	0.21620952380952385	0.523477550775248	14.6	100.9	-0.6165968253968253
0.3	7.8	44.0	0.21620952380952385	0.523477550775248	14.6	100.9	-0.6165968253968253
0.4	7.8	43.9	0.21700317460317464	0.5223357758834732	14.6	100.9	-0.6165968253968253
0.5	7.8	42.4	0.2289079365079365	0.4957908624635598	14.6	100.9	-0.6165968253968253
0.6	7.8	37.1	0.27101587301587304	0.4400638372957452	14.6	100.9	-0.6165968253968253
0.7	7.8	36.7	0.2742222222222222	0.44638749731888827	14.6	100.9	-0.6165968253968253
0.8	7.7	36.3	0.28300952380952377	0.4330361278237218	14.6	100.9	-0.6165968253968253
0.9	7.7	36.8	0.279015873015873	0.43706109408553023	14.6	100.9	-0.6165968253968253
1.0	7.7	37.0	0.2774222222222223	0.41462204256165724	14.6	100.9	-0.6165968253968253
