beta	avgrolnumber	avgassigns	avgopt	avgsim	avginitrolenumber	avginitassigns	avginitopt
0.0	55.1	4378.2	0.396112648314841	0.9209788785417651	54.4	4341.9	0.401335529392738
0.1	64.2	3930.0	0.44485299581387494	0.7903642330620813	54.4	4341.9	0.401335529392738
0.2	63.1	3901.6	0.44942937177012593	0.7875288385264222	54.4	4341.9	0.401335529392738
0.3	63.1	3903.2	0.4492264323806198	0.7844625174239661	54.4	4341.9	0.401335529392738
0.4	62.1	3862.8	0.45523505397018516	0.7805471092407051	54.4	4341.9	0.401335529392738
0.5	62.7	2948.3	0.5706267273454679	0.6943037298612764	54.4	4341.9	0.401335529392738
0.6	62.6	2616.6	0.6127649158828234	0.6402078127670195	54.4	4341.9	0.401335529392738
0.7	65.8	2114.8	0.6735339338134054	0.5794582294791237	54.4	4341.9	0.401335529392738
0.8	66.9	2012.9	0.6854748196130026	0.5734129226606914	54.4	4341.9	0.401335529392738
0.9	66.9	1967.8	0.6911916147911294	0.5885511404156353	54.4	4341.9	0.401335529392738
1.0	21.8	925.1	0.8633865545575695	0.49035861735982944	54.4	4341.9	0.401335529392738
